Description,Prices,Rating,ReviewCount,URL
Alex Vando Mens Casual Button Down Hawaiian Shirts Short Sleeve Beach Shirt,$17.99,4.4 out of 5 stars,32,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09702712IIWGBH9HTZYU&url=%2FAlex-Vando-Casual-Button-Hawaiian%2Fdp%2FB08Z3QRLWV%2Fref%3Dsr_1_16_sspa%3Fcrid%3D1AZQR15WRQJRI%26dchild%3D1%26keywords%3Dcasual%2BShirts%26qid%3D1621928577%26sprefix%3Dshirt%2Bfor%2Bmen%252Caps%252C446%26sr%3D8-16-spons%26psc%3D1&qualifier=1621928577&id=6123135377136169&widgetName=sp_mtf
Hanes Women's Long Sleeve Tee,$10.00,4.1 out of 5 stars,"27,453",https://www.amazon.com//Hanes-Womens-Long-Sleeve-Large/dp/B01I21FKI0/ref=sr_1_17?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-17
Amazon Essentials Men's Slim-fit Short-Sleeve Chambray Shirt,$18.90,4.4 out of 5 stars,"1,595",https://www.amazon.com//Amazon-Essentials-Standard-Slim-Fit-Short-Sleeve/dp/B07HL3DTKH/ref=sr_1_18?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-18
Amazon Essentials Men's Regular-Fit Long-Sleeve Oxford Shirt,$19.40,4.4 out of 5 stars,"3,526",https://www.amazon.com//Amazon-Essentials-Regular-Fit-Long-Sleeve-XX-Large/dp/B0775PNHNR/ref=sr_1_19?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-19
Dickies Men's Heavyweight Crew Neck Short Sleeve Tee,$14.99,4.6 out of 5 stars,"12,007",https://www.amazon.com//Dickies-Sleeve-Heavyweight-T-Shirt-Charcoal/dp/B00B6EDX12/ref=sr_1_20?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-20
MIHOLL Women's Short Sleeve V-Neck Shirts Loose Casual Tee T-Shirt,$18.99,4.3 out of 5 stars,"21,859",https://www.amazon.com//MIHOLL-Womens-Sleeve-T-Shirt-X-Large/dp/B07PR986DD/ref=sr_1_21?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-21
Amazon Brand - Goodthreads Standard-Fit Long-Sleeve Plaid Poplin Shirt,$25.90,4.4 out of 5 stars,"5,673",https://www.amazon.com//Goodthreads-Standard-Fit-Long-Sleeve-Large-Scale-Burgundy/dp/B01KGE5S06/ref=sr_1_22?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-22
Hurley Men's One and Only Textured Short Sleeve Button Up,$45.00,4.5 out of 5 stars,"2,469",https://www.amazon.com//Hurley-Textured-Short-Sleeve-Button/dp/B074PWL4ZK/ref=sr_1_24?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-24
Calvin Klein Men's Short Sleeve Casual Monogram Waffle Crew Neck Shirt,$17.16,4.4 out of 5 stars,144,https://www.amazon.com//Calvin-Klein-Sleeve-Monogram-Peacoat/dp/B086FDTK3S/ref=sr_1_25?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-25
Calvin Klein Men's Liquid Touch Polo Solid with Uv-Protection,$34.99,4.5 out of 5 stars,"2,612",https://www.amazon.com//Calvin-Klein-Liquid-Medium-Heather/dp/B07JJ5FJ2K/ref=sr_1_26?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-26
